case,member,prior,true_alpha,estimated_alpha_mean,estimated_minus_true_alpha,posterior_sd,credible_interval_90_low,credible_interval_90_high,credible_interval_contains_truth,genuinely_damaged,source
clustered_main_case,M00,weak_gaussian_flat,0.9916267563460638,0.8114812518267605,-0.18014550451930333,0.17021408191760687,0.5314790870722972,1.0,True,False,illustrative
clustered_main_case,M01,weak_gaussian_flat,0.679457462870522,0.7929159933602459,0.11345853048972387,0.16266522151481944,0.5253317039683679,1.0,True,True,illustrative
clustered_main_case,M02,weak_gaussian_flat,0.7673646465761695,0.7824052370814213,0.01504059050525175,0.16443996476209724,0.5119014950477714,1.0,True,True,illustrative
clustered_main_case,M03,weak_gaussian_flat,0.9818251809564175,0.7272269052932475,-0.25459827566316995,0.0860191178624691,0.5857254564094858,0.8687283541770092,False,False,illustrative
clustered_main_case,M04,weak_gaussian_flat,0.7410196568814531,0.8360210840544485,0.09500142717299542,0.16416896160140576,0.5659631422201361,1.0,True,True,illustrative
clustered_main_case,M05,weak_gaussian_flat,0.9543806613122212,0.8017634587416352,-0.15261720257058597,0.15186030631809036,0.5519532548483765,1.0,True,False,illustrative
clustered_main_case,M06,weak_gaussian_flat,0.7063919628311573,0.7947911309296198,0.08839916809846249,0.15368789848576836,0.541974537920531,1.0,True,True,illustrative
clustered_main_case,M07,weak_gaussian_flat,0.7491064858393197,0.7911443187992439,0.04203783295992414,0.15018546300477795,0.5440892321563842,1.0,True,True,illustrative
clustered_main_case,M08,weak_gaussian_flat,0.9998163262523082,0.8567611596809066,-0.1430551665714016,0.17359842090411165,0.5711917572936429,1.0,True,False,illustrative
clustered_main_case,M09,weak_gaussian_flat,0.7637794229007807,0.8198144891776022,0.05603506627682153,0.1577103307610906,0.5603809950756082,1.0,True,True,illustrative
clustered_main_case,M10,weak_gaussian_flat,0.8868553092542035,0.8177524476920095,-0.06910286156219403,0.15841436883851467,0.5571608109526529,1.0,True,False,illustrative
clustered_main_case,M11,weak_gaussian_flat,0.7443269107162586,0.8453050599429861,0.10097814922672754,0.17402090933548206,0.5590406640861181,1.0,True,True,illustrative
clustered_main_case,M12,weak_gaussian_flat,0.8742138709918149,0.8467498962231376,-0.027463974768677346,0.1647193851455078,0.5757865076587773,1.0,True,False,illustrative
clustered_main_case,M13,weak_gaussian_flat,0.6683118292337747,0.8687446635909234,0.20043283435714865,0.17440975779001702,0.5818406120263454,1.0,True,True,illustrative
clustered_main_case,M14,weak_gaussian_flat,0.8962980855088591,0.8493535674480315,-0.04694451806082767,0.16641664627931074,0.5755981843185654,1.0,True,False,illustrative
clustered_main_case,M15,weak_gaussian_flat,0.7533313015366673,0.8569612033572795,0.10362990182061227,0.17463228213841306,0.56969109923959,1.0,True,True,illustrative
clustered_main_case,M16,weak_gaussian_flat,0.9233732380006169,0.871078140657165,-0.052295097343451835,0.1774473614834255,0.5791772310169301,1.0,True,False,illustrative
clustered_main_case,M17,weak_gaussian_flat,0.7342641450839525,0.8576792708906447,0.12341512580669212,0.1748480170680874,0.5700542828136409,1.0,True,True,illustrative
clustered_main_case,M18,weak_gaussian_flat,0.9339306313834392,0.8722814288673859,-0.061649202516053325,0.17750402510065,0.5802873075768167,1.0,True,False,illustrative
clustered_main_case,M19,weak_gaussian_flat,0.5270347000175947,0.8864243216454932,0.35938962162789856,0.17942040375689272,0.5912777574654047,1.0,False,True,illustrative
clustered_main_case,M20,weak_gaussian_flat,0.7814454696260098,0.8725537075118229,0.09110823788581313,0.17759203284787362,0.5804148134770708,1.0,True,True,illustrative
clustered_main_case,M00,hierarchical_laplace_sparse,0.9916267563460638,0.654061635995375,-0.33756512035068875,0.20013131555891037,0.35,0.9832776500897826,False,False,illustrative
clustered_main_case,M01,hierarchical_laplace_sparse,0.679457462870522,0.7947041466463862,0.11524668377586422,0.14615093363977757,0.5542858608089521,1.0,True,True,illustrative
clustered_main_case,M02,hierarchical_laplace_sparse,0.7673646465761695,0.7946699357385121,0.02730528916234254,0.14633020901797097,0.5539567419039498,1.0,True,True,illustrative
clustered_main_case,M03,hierarchical_laplace_sparse,0.9818251809564175,0.6545194968415654,-0.32730568411485206,0.20069369372489232,0.35,0.9846606230190132,True,False,illustrative
clustered_main_case,M04,hierarchical_laplace_sparse,0.7410196568814531,0.9872081529014693,0.24618849602001625,0.05261356229492644,0.9006588429263154,1.0,False,True,illustrative
clustered_main_case,M05,hierarchical_laplace_sparse,0.9543806613122212,0.7036632009588303,-0.25071746035339093,0.15918567490611793,0.44180276573826627,0.9655236361793943,True,False,illustrative
clustered_main_case,M06,hierarchical_laplace_sparse,0.7063919628311573,0.703326891281123,-0.003065071550034326,0.15924837459555463,0.44136331507143567,0.9652904674908104,True,True,illustrative
clustered_main_case,M07,hierarchical_laplace_sparse,0.7491064858393197,0.9871682077725532,0.2380617219332335,0.052643526980112834,0.9005696058902676,1.0,False,True,illustrative
clustered_main_case,M08,hierarchical_laplace_sparse,0.9998163262523082,0.991994240474101,-0.0078220857782072,0.049036085469592816,0.9113298798766208,1.0,True,False,illustrative
clustered_main_case,M09,hierarchical_laplace_sparse,0.7637794229007807,0.734131366838103,-0.02964805606267773,0.1577345394831148,0.47465804938837913,0.9936046842878268,True,True,illustrative
clustered_main_case,M10,hierarchical_laplace_sparse,0.8868553092542035,0.7340177071798457,-0.15283760207435781,0.1576903933249916,0.47461701016023455,0.9934184041994569,True,False,illustrative
clustered_main_case,M11,hierarchical_laplace_sparse,0.7443269107162586,0.9919980335355916,0.247671122819333,0.04903282433123859,0.9113390375107041,1.0,False,True,illustrative
clustered_main_case,M12,hierarchical_laplace_sparse,0.8742138709918149,0.9690358035768301,0.09482193258501515,0.06814345468853183,0.8569398206141952,1.0,True,False,illustrative
clustered_main_case,M13,hierarchical_laplace_sparse,0.6683118292337747,0.9916258318210907,0.3233140025873159,0.04924385285815801,0.9106196938694208,1.0,False,True,illustrative
clustered_main_case,M14,hierarchical_laplace_sparse,0.8962980855088591,0.9695340800621794,0.0732359945533203,0.06772351332730847,0.858128900638757,1.0,True,False,illustrative
