primary_bits,raw_assignment_count,seed,annealed_energy,exact_energy,hit_exact_optimum,source
12,4096,62000,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62001,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62002,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62003,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62004,-15.334118679827952,-24.44719149973389,False,illustrative
12,4096,62005,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62006,-15.334118679827952,-24.44719149973389,False,illustrative
12,4096,62007,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62008,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62009,-15.334118679827952,-24.44719149973389,False,illustrative
12,4096,62010,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62011,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62012,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62013,-15.334118679827952,-24.44719149973389,False,illustrative
12,4096,62014,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62015,-15.334118679827952,-24.44719149973389,False,illustrative
12,4096,62016,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62017,-15.334118679827952,-24.44719149973389,False,illustrative
12,4096,62018,-24.44719149973389,-24.44719149973389,True,illustrative
12,4096,62019,-24.44719149973389,-24.44719149973389,True,illustrative
16,65536,63000,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63001,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63002,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63003,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63004,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63005,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63006,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63007,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63008,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63009,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63010,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63011,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63012,-24.123808658550843,-33.22665035634418,False,illustrative
16,65536,63013,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63014,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63015,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63016,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63017,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63018,-33.22665035634418,-33.22665035634418,True,illustrative
16,65536,63019,-24.123808658550843,-33.22665035634418,False,illustrative
20,1048576,64000,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64001,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64002,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64003,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64004,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64005,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64006,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64007,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64008,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64009,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64010,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64011,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64012,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64013,-41.1746017140249,-41.1746017140249,True,illustrative
20,1048576,64014,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64015,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64016,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64017,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64018,-32.22185137384804,-41.1746017140249,False,illustrative
20,1048576,64019,-32.22185137384804,-41.1746017140249,False,illustrative
