observation,mode,temperature_degC,humidity_pct,measured_frequency_hz,true_environment_shift_fraction,source
0,1,27.379231482200712,83.72459880815843,1.418727221850463,0.006125258568577427,illustrative
0,2,27.379231482200712,83.72459880815843,4.4059060377316195,0.006615279254063622,illustrative
0,3,27.379231482200712,83.72459880815843,7.378355942159226,0.0071052999395498145,illustrative
0,4,27.379231482200712,83.72459880815843,14.976257330820783,0.007595320625036009,illustrative
1,1,28.297138314647174,82.42940959070981,1.4174859331665552,0.004380039261532752,illustrative
1,2,28.297138314647174,82.42940959070981,4.47446212712028,0.0047304424024553725,illustrative
1,3,28.297138314647174,82.42940959070981,7.331707472321945,0.0050808455433779915,illustrative
1,4,28.297138314647174,82.42940959070981,14.914081580006275,0.005431248684300612,illustrative
2,1,28.27126976671036,76.28508710315285,1.4206642148827078,0.001834084936244931,illustrative
2,2,28.27126976671036,76.28508710315285,4.427273656929724,0.0019808117311445254,illustrative
2,3,28.27126976671036,76.28508710315285,7.367076418694665,0.0021275385260441197,illustrative
2,4,28.27126976671036,76.28508710315285,15.05574082581854,0.0022742653209437145,illustrative
3,1,31.219771433537815,73.98006329530716,1.4235617881271003,-0.003386314191188824,illustrative
3,2,31.219771433537815,73.98006329530716,4.450678045162453,-0.00365721932648393,illustrative
3,3,31.219771433537815,73.98006329530716,7.309849235672577,-0.003928124461779036,illustrative
3,4,31.219771433537815,73.98006329530716,14.961864496791929,-0.004199029597074142,illustrative
4,1,31.11627997423834,76.3522650121498,1.4104290267252664,-0.0022304302916160514,illustrative
4,2,31.11627997423834,76.3522650121498,4.421233620141821,-0.0024088647149453357,illustrative
4,3,31.11627997423834,76.3522650121498,7.27315076499325,-0.0025872991382746196,illustrative
4,4,31.11627997423834,76.3522650121498,14.991570086910402,-0.002765733561603904,illustrative
5,1,31.17187947551812,74.67087868524125,1.401716220334446,-0.0030222405391350546,illustrative
5,2,31.17187947551812,74.67087868524125,4.334666953560684,-0.0032640197822658592,illustrative
5,3,31.17187947551812,74.67087868524125,7.178844096707299,-0.003505799025396663,illustrative
5,4,31.17187947551812,74.67087868524125,14.837800847501722,-0.0037475782685274677,illustrative
6,1,32.62425504588356,70.1203657580403,1.3802831987879758,-0.007246893757717658,illustrative
6,2,32.62425504588356,70.1203657580403,4.3720261190502905,-0.00782664525833507,illustrative
6,3,32.62425504588356,70.1203657580403,7.214174766085325,-0.008406396758952482,illustrative
6,4,32.62425504588356,70.1203657580403,15.062483460807458,-0.008986148259569896,illustrative
7,1,33.482046959669574,69.32323534693522,1.4031256150323093,-0.009017392501431831,illustrative
7,2,33.482046959669574,69.32323534693522,4.304807355434781,-0.009738783901546378,illustrative
7,3,33.482046959669574,69.32323534693522,7.181518726584928,-0.010460175301660922,illustrative
7,4,33.482046959669574,69.32323534693522,14.773312381067976,-0.01118156670177547,illustrative
8,1,32.875119987634356,65.58993825007053,1.372378375295977,-0.009564222139931848,illustrative
8,2,32.875119987634356,65.58993825007053,4.352264499748143,-0.010329359911126396,illustrative
8,3,32.875119987634356,65.58993825007053,7.213429701246001,-0.011094497682320943,illustrative
8,4,32.875119987634356,65.58993825007053,14.939551093547104,-0.011859635453515491,illustrative
9,1,34.62642763123141,63.00500523523954,1.3867762843709865,-0.013666616284743001,illustrative
9,2,34.62642763123141,63.00500523523954,4.4109154488588525,-0.014759945587522442,illustrative
9,3,34.62642763123141,63.00500523523954,7.132455400111347,-0.01585327489030188,illustrative
9,4,34.62642763123141,63.00500523523954,14.509259015904053,-0.016946604193081322,illustrative
10,1,35.09172739004473,60.155839565764865,1.3682058928769585,-0.015700868445352675,illustrative
10,2,35.09172739004473,60.155839565764865,4.308831296163318,-0.01695693792098089,illustrative
10,3,35.09172739004473,60.155839565764865,7.199008368753723,-0.018213007396609103,illustrative
